Hand,2,3,4,5,6,7,8,9,10,A
S20,S,S,S,S,S,S,S,S,S,S
S19,S,S,S,S,DS,S,S,S,S,S
S18,DS,DS,DS,DS,DS,S,S,H,H,H
S17,H,D,D,D,D,H,H,H,H,H
S16,H,H,D,D,D,H,H,H,H,H
S15,H,H,D,D,D,H,H,H,H,H
S14,H,H,H,D,D,H,H,H,H,H
S13,H,H,H,D,D,H,H,H,H,H
S12,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,YS,YS,YS,YS,YS,S,YS,YS,S,S
17,S,S,S,S,S,S,S,S,S,US
16,YS,YS,YS,YS,YS,YH,YH,YUH,YUH,UYH
15,S,S,S,S,S,H,H,H,UH,UH
14,YS,YS,YS,YS,YS,YH,H,H,H,H
13,S,S,S,S,S,H,H,H,H,H
12,/H,YH,YS,YS,YS,H,H,H,H,H
11,D,D,D,D,D,D,D,D,D,D
10,D,D,D,D,D,D,D,D,H,H
9,H,D,D,D,D,H,H,H,H,H
8,H,H,H,/H,/H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
6,/H,/H,YH,YH,YH,YH,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
4,/H,/H,YH,YH,YH,YH,H,H,H,H